game_week,event_name,home_team_id,home_team_name,home_team_short_name,away_team_id,away_team_name,away_team_short_name
1,Gameweek 1,1,Arsenal,ARS,9,Leicester,LEI
1,Gameweek 1,3,Brighton,BHA,11,Man City,MCI
1,Gameweek 1,5,Chelsea,CHE,4,Burnley,BUR
1,Gameweek 1,6,Crystal Palace,CRY,8,Huddersfield,HUD
1,Gameweek 1,7,Everton,EVE,15,Stoke,STK
1,Gameweek 1,14,Southampton,SOU,16,Swansea,SWA
1,Gameweek 1,19,West Brom,WBA,2,Bournemouth,BOU
1,Gameweek 1,18,Watford,WAT,10,Liverpool,LIV
1,Gameweek 1,13,Newcastle,NEW,17,Spurs,TOT
1,Gameweek 1,12,Man Utd,MUN,20,West Ham,WHU
2,Gameweek 2,16,Swansea,SWA,12,Man Utd,MUN
2,Gameweek 2,2,Bournemouth,BOU,18,Watford,WAT
2,Gameweek 2,9,Leicester,LEI,3,Brighton,BHA
2,Gameweek 2,14,Southampton,SOU,20,West Ham,WHU
2,Gameweek 2,10,Liverpool,LIV,6,Crystal Palace,CRY
2,Gameweek 2,4,Burnley,BUR,19,West Brom,WBA
2,Gameweek 2,15,Stoke,STK,1,Arsenal,ARS
2,Gameweek 2,8,Huddersfield,HUD,13,Newcastle,NEW
2,Gameweek 2,17,Spurs,TOT,5,Chelsea,CHE
2,Gameweek 2,11,Man City,MCI,7,Everton,EVE
2,Gameweek 2,16,Swansea,SWA,12,Man Utd,MUN
2,Gameweek 2,2,Bournemouth,BOU,18,Watford,WAT
2,Gameweek 2,9,Leicester,LEI,3,Brighton,BHA
2,Gameweek 2,14,Southampton,SOU,20,West Ham,WHU
2,Gameweek 2,10,Liverpool,LIV,6,Crystal Palace,CRY
2,Gameweek 2,4,Burnley,BUR,19,West Brom,WBA
2,Gameweek 2,15,Stoke,STK,1,Arsenal,ARS
2,Gameweek 2,8,Huddersfield,HUD,13,Newcastle,NEW
2,Gameweek 2,17,Spurs,TOT,5,Chelsea,CHE
